edgeId,edge_coordinates,connected_edges
-204778218,"[(24.45405074230664, 54.39001445277683), (24.45404302396972, 54.39002220403162)]","['204778218', '24206721#1', '24206722#4', '204778218']"
-298218416,"[(24.469137752119583, 54.377130838503255), (24.46913664034945, 54.37712918517553)]","['298218416', '473432072', '478919726', '298218416']"
-399098916,"[(24.466262308274814, 54.38148887724136), (24.46630109641769, 54.38145119502245)]","['399098916', '434371584#9', '418671591#0', '399098916']"
-418671566,"[(24.467136169606533, 54.3825205850544), (24.46712579463227, 54.382531252241)]","['112672265#10', '418671566', '418671572#0']"
-478925564#0,"[(24.471652220996, 54.35218527291479), (24.471632277092876, 54.35215965705853)]","['-478925564#1', '478925564#0', '478925562', '478925564#0']"
-478925564#1,"[(24.473884631309232, 54.35500679616366), (24.47218805229753, 54.35287488880597), (24.471681401253566, 54.352222923222776)]","['-478925564#2', '473073686', '478925564#1', '-478925564#0', '478925564#1']"
-478925564#2,"[(24.47442902130847, 54.355691030883264), (24.473921361001604, 54.35505296786991)]","['-478925564#3', '478925564#2', '-478925564#1', '478925564#2']"
-478925564#3,"[(24.47475930376048, 54.35610589646038), (24.474465841043425, 54.35573720110639)]","['-478925564#4', '24196615#3', '478925564#3', '473073685', '-478925564#2', '478925564#3']"
-478925564#4,"[(24.475720350111608, 54.357313754037186), (24.474844574879675, 54.3562130821885)]","['-24196614#0', '-478925564#5', '478925564#4', '-24196615#3', '-478925564#3', '478925564#4']"
-478925564#5,"[(24.476524043499037, 54.35832374157619), (24.475805620501013, 54.357420941417054)]","['-177196367', '-478925564#6', '478925564#5', '24196614#0', '-478925564#4', '478925564#5']"
-478925564#6,"[(24.479260098622245, 54.36176208160427), (24.479244872793977, 54.36174297161664), (24.479181107146598, 54.361662843968986), (24.478597616318964, 54.36092957201798), (24.47664650008177, 54.35847748895575), (24.47660931155349, 54.35843083175812)]","['478925564#6', '-478925564#5', '177196367', '478925564#6']"
100947929,"[(24.449445780026018, 54.39591903139418), (24.4494524716684, 54.39592500673814), (24.449636965467416, 54.396140391989356), (24.44972668658974, 54.39619316940512), (24.449810815342914, 54.39620948266626), (24.449874169698145, 54.39620394033733), (24.44994011741658, 54.39618128750441), (24.44999848866614, 54.39614321220387), (24.45004194600536, 54.396098640386064), (24.450082598738906, 54.39603273077672), (24.450109805518878, 54.395945997983056), (24.450113071064198, 54.395847432946205), (24.45010194098196, 54.39580911061793)]","['398394920#1', '119131763#3']"
100947941#0,"[(24.449838700304326, 54.396434497604254), (24.45017667797511, 54.396836132848385), (24.450255315929567, 54.396905703037056), (24.450329882863386, 54.39695376431702), (24.450422038599232, 54.39699594267201)]","['398394920#2', '100947941#1']"
100947941#1,"[(24.450422038599232, 54.39699594267201), (24.450470002799154, 54.39701388729501), (24.450529054353456, 54.397031012436386)]","['100947941#0', '100947941#2', '100947954#2']"
100947941#2,"[(24.45061815896093, 54.397048012804746), (24.450667786966804, 54.397052514079014), (24.450736238059786, 54.397049430843374), (24.45082542221994, 54.397039611192824), (24.4508809375769, 54.397029596258605)]","['100947941#1', '100947954#1']"
100947952#0,"[(24.457497798950076, 54.38285737019115), (24.457646924066143, 54.38276495391272), (24.457719724227967, 54.3827420521362), (24.457759749001927, 54.382739252548525)]","['482335645#1', '100947952#1']"
100947952#1,"[(24.457807802174337, 54.38274141425571), (24.457856230175004, 54.38274958292524), (24.45786977753243, 54.38275531753247)]","['100947952#0', '399098935#2']"
100947954#0,"[(24.449631237410156, 54.39837558644082), (24.449677491138473, 54.398231277207515), (24.45032798117919, 54.39752457980412), (24.450390910207474, 54.397447169772114)]",['100947954#1']
100947954#1,"[(24.450390910207474, 54.397447169772114), (24.450409238839033, 54.39742135509786), (24.450456808174735, 54.39733252763894), (24.450523229461773, 54.39720111316539), (24.450549571032305, 54.39713746971381), (24.450561940713346, 54.397090579121226)]","['100947954#0', '100947941#2', '100947954#2']"
100947954#2,"[(24.45057831491344, 54.396993223187025), (24.450585741362733, 54.39690038943673), (24.450585805626083, 54.396720744570786), (24.450561730880192, 54.39653351107672), (24.45051498999533, 54.39632988366598), (24.45050002476766, 54.396288977911276)]","['100947941#1', '100947954#1', '119131763#1']"
106895779#0,"[(24.466840993404176, 54.38287231530755), (24.46691669135237, 54.3828603956531), (24.467018851084752, 54.382865086610614)]","['24206858#1', '106895779#1']"
106895779#1,"[(24.467061547223985, 54.38287061307354), (24.467125228284146, 54.382883988651905), (24.467210309812565, 54.382908360259314), (24.467237406267383, 54.382919928731596)]","['106895779#0', '418671572#2']"
108742238#0,"[(24.474467257514636, 54.39091004452442), (24.477694067627272, 54.388825636300126)]","['688443524', '108742238#1']"
108742238#1,"[(24.477756137476707, 54.38878500627653), (24.480005405394074, 54.3872939846041)]","['108742238#0', '198871211']"
109859946#0,"[(24.46593224239578, 54.36620658516358), (24.465960955179867, 54.36620726940957)]","['24156847#14', '109859946#1']"
109859946#1,"[(24.46599440073477, 54.366210221719825), (24.465996212040316, 54.36621057844731)]","['109859946#0', '473449411#0']"
112672265#0,"[(24.47212346644825, 54.38873416334509), (24.47203020512954, 54.3885342272005), (24.471927465431754, 54.388349870698434), (24.4717957451866, 54.38816502811166), (24.471409749433114, 54.38763950278628)]","['150783617#1', '112672265#1', '479128660']"
112672265#1,"[(24.470938954096688, 54.38705380364218), (24.470921964197505, 54.387031670961235)]","['112672265#0', '112672265#2']"
112672265#10,"[(24.46725814490247, 54.38250731337116), (24.46725694638305, 54.382505859027255)]","['112672265#9', '418671547', '-418671566']"
112672265#2,"[(24.470887889050953, 54.38698711174998), (24.470841442584263, 54.38692653708212)]","['112672265#1', '112672265#3']"
112672265#3,"[(24.470803497879867, 54.38687742308438), (24.47008648390901, 54.385957987068714)]","['112672265#2', '479165930', '479162041', '112672265#4']"
112672265#4,"[(24.470038578165923, 54.3858965558168), (24.470019472043994, 54.385872100502205)]","['112672265#3', '112672265#5']"
112672265#5,"[(24.469964840081285, 54.38580272216248), (24.469278430148893, 54.38496224480242)]","['112672265#4', '479162040', '112672265#6']"
112672265#6,"[(24.469235459488846, 54.384909587291965), (24.46871698494524, 54.38428653472886), (24.46868506105749, 54.38424637003329)]","['112672265#5', '683258106#1', '479162043', '112672265#7']"
112672265#7,"[(24.46863542512255, 54.38418408839438), (24.468633024696455, 54.38418098249242)]","['112672265#6', '112672265#8']"
112672265#8,"[(24.468583121484894, 54.38411890365168), (24.467533560716205, 54.38284339599119)]","['112672265#7', '479162042', '258488370#0', '112672265#9']"
112672265#9,"[(24.467426048225555, 54.38271210281312), (24.467283593017115, 54.382538341869484)]","['112672265#8', '112672265#10']"
112672266#0,"[(24.472283508892684, 54.39146136887391), (24.47228258114311, 54.39146513532063), (24.47223432075349, 54.39159205997693)]","['418671572#15', '112672266#1']"
112672266#1,"[(24.472209172454942, 54.391635771252574), (24.472140431151708, 54.39173698549171), (24.472037323198983, 54.39183417474116), (24.47199455914522, 54.39187696711855)]","['112672266#0', '227300453#0']"
112672267#0,"[(24.46727496739349, 54.39559846529089), (24.468255384182584, 54.395099529872944), (24.46889460125107, 54.39474527346725), (24.470195439075226, 54.39394921317334)]","['683402237#0', '112672267#1', '817157481']"
112672267#1,"[(24.470255511363444, 54.393910404512795), (24.47139539808237, 54.39313933755053)]","['112672267#0', '150783621#0', '817157483#0']"
118261381#0,"[(24.46137184438079, 54.387384670220285), (24.46143089750215, 54.38736530790211), (24.46146994364434, 54.387363318614454)]","['432416069#13', '118261381#1']"
118261381#1,"[(24.461518974122914, 54.387369800452234), (24.461560342586818, 54.38738206094391), (24.461586774930726, 54.387396996286945)]","['118261381#0', '77972407#2']"
119131763#0,"[(24.450873510996082, 54.396635163240404), (24.45087074315025, 54.3966316706501), (24.450700372316415, 54.39641875303272), (24.450556293925295, 54.39624414250522)]",['119131763#1']
119131763#1,"[(24.450452037849587, 54.3961178146696), (24.450374233006762, 54.39602328280955)]","['100947954#2', '119131763#0', '24206725#0', '119131763#2']"
119131763#2,"[(24.45030675568145, 54.395941454843744), (24.450161199270052, 54.3957649038703)]","['-24206725#0', '119131763#1', '119131763#3']"
119131763#3,"[(24.450069124179393, 54.395654101731935), (24.4493558418616, 54.39474877328597), (24.44897748925404, 54.39426190332676)]","['100947929', '119131763#2', '203696370#0', '119131763#4']"
